公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地 区,省 份,城 市,所属行业,公司网址
300152,燃控科技,徐州燃控科技股份有限公司,"XUZHOU COMBUSTION CONTROL TECHNOLOGY CO.,LTD",江苏省徐州市经济开发区杨山路12号,300152,燃控科技,2010-12-29,240823000,149600000,,,,0,0,华东,江苏,徐州市,C 制造业,www.xcc.com.cn
300153,科泰电源,上海科泰电源股份有限公司,"SHANGHAI COOLTECH POWER CO.,LTD.",上海市青浦工业园区崧华路688号,300153,科泰电源,2010-12-29,160000000,75715000,,,,0,0,华东,上海,上海市,C 制造业,www.cooltechsh.com
300154,瑞凌股份,深圳市瑞凌实业股份有限公司,"SHENZHEN RILAND INDUSTRY CO., LTD",广东省深圳市宝安区福永街道凤凰第四工业区4号厂房,300154,瑞凌股份,2010-12-29,223500000,78527500,,,,0,0,华南,广东,深圳市,C 制造业,www.riland.com.cn
300155,安居宝,广东安居宝数码科技股份有限公司,"GUANGDONG ANJUBAO DIGITAL TECHNOLOGY CO.,LTD.",广东省广州开发区科学城起云路6号,300155,安居宝,2011-01-07,182658000,57756250,,,,0,0,华南,广东,广州市,C 制造业,www.anjubao.com
300156,天立环保,天立环保工程股份有限公司,"Tianli environmental engineering co.,Ltd",北京市朝阳区酒仙桥北路5号,300156,天立环保,2011-01-07,288720000,151112327,,,,0,0,华北,北京,北京市,C 制造业,www.tlhb.cn
300157,恒泰艾普,恒泰艾普石油天然气技术服务股份有限公司,"LandOcean Energy Services Co., LTD.",北京市海淀区农大南路1号院2号楼A701室,300157,恒泰艾普,2011-01-07,184663742,105439741,,,,0,0,华北,北京,北京市,B 采矿业,www.ldocean.com.cn
300158,振东制药,山西振东制药股份有限公司,"Shanxi Zhendong Pharmaceutical Co.,Ltd",山西省长治县光明南路振东科技园,300158,振东制药,2011-01-07,288000000,89991040,,,,0,0,华北,山西,长治市,C 制造业,www.zdjt.com
300159,新研股份,新疆机械研究院股份有限公司,"Xinjiang Machinery Research Institute Co.,Ltd",新疆维吾尔自治区乌鲁木齐经济技术开发区融合南路661号,300159,新研股份,2011-01-07,180400000,46640000,,,,0,0,西北,新疆,乌鲁木齐市,C 制造业,www.xjjxy.com.cn
300160,秀强股份,江苏秀强玻璃工艺股份有限公司,"JIANGSU XIUQIANG GLASSWORK CO., LTD.",江苏省宿迁经济开发区东区珠江路102号,300160,秀强股份,2011-01-13,186800000,67800000,,,,0,0,华东,江苏,宿迁市,C 制造业,www.jsxq.com
300161,华中数控,武汉华中数控股份有限公司,"Wuhan Huazhong Numerical Control Co.,Ltd.",湖北省武汉市东湖开发区华工科技园,300161,华中数控,2011-01-13,107830000,63161538,,,,0,0,华中,湖北,武汉市,C 制造业,www.huazhongcnc.com
300162,雷曼光电,深圳雷曼光电科技股份有限公司,"Ledman Optoelectronic Co.,Ltd.",广东省深圳市南山区松白路百旺信高科技工业园二区第八栋,300162,雷曼光电,2011-01-13,134000000,34150000,,,,0,0,华南,广东,深圳市,C 制造业,www.ledman.cn
300163,先锋新材,宁波先锋新材料股份有限公司,"NINGBO XIANFENG NEW MATERIAL CO.,LTD",浙江省宁波市鄞州区集士港镇山下庄村,300163,先锋新材,2011-01-13,79000000,37887188,,,,0,0,华东,浙江,宁波市,C 制造业,www.aplus.cn;www.chinacurtains.com
300164,通源石油,西安通源石油科技股份有限公司,"TONG OIL TOOLS CO., LTD.",陕西省西安市高新区科技二路70号软件园唐乐阁D301室,300164,通源石油,2011-01-13,237600000,143419493,,,,0,0,西北,陕西,西安市,B 采矿业,www.tongoiltools.com
300165,天瑞仪器,江苏天瑞仪器股份有限公司,"Jiangsu Skyray Instrument Co.,Ltd.",江苏省昆山市玉山镇中华园西路1888号天瑞大厦,300165,天瑞仪器,2011-01-25,153920000,68085000,,,,0,0,华东,江苏,苏州市,C 制造业,www.skyray-instrument.com
300166,东方国信,北京东方国信科技股份有限公司,"Beijing Orient National Communication Science&Technology Co.,Ltd",北京市朝阳区望京北路9号叶青大厦D座1108,300166,东方国信,2011-01-25,123967500,41700000,,,,0,0,华北,北京,北京市,I 信息技术,www.bonc.com.cn
300167,迪威视讯,深圳市迪威视讯股份有限公司,Shenzhen Dvision Video Communications Co.Ltd.,广东省深圳市南山区西丽镇茶光路南侧深圳集成电路设计应用产业园306-1、307、407、409室,300167,迪威视讯,2011-01-25,200160000,96828750,,,,0,0,华南,广东,深圳市,I 信息技术,www.dvision.cn
300168,万达信息,万达信息股份有限公司,"Wonders Information Co.,Ltd.",上海市桂平路481号20号楼5层,300168,万达信息,2011-01-25,243217020,173468720,,,,0,0,华东,上海,上海市,I 信息技术,www.wondersgroup.com
300169,天晟新材,常州天晟新材料股份有限公司,"Changzhou Tiansheng New Materials Co., Ltd.",江苏省常州市龙锦路508号,300169,天晟新材,2011-01-25,280500000,141837612,,,,0,0,华东,江苏,常州市,C 制造业,www.tschina.com
300170,汉得信息,上海汉得信息技术股份有限公司,"Hand Enterprise Solutions Co.,Ltd",上海市青浦工业园区外青松公路5500号303室,300170,汉得信息,2011-02-01,177447774,98873243,,,,0,0,华东,上海,上海市,I 信息技术,www.hand-china.com
300171,东富龙,上海东富龙科技股份有限公司,"Shanghai Tofflon Science and Technology Co.,Ltd.",上海市闵行区放鹤路2199号,300171,东富龙,2011-02-01,208000000,67600000,,,,0,0,华东,上海,上海市,C 制造业,www.tofflon.com
300172,中电环保,南京中电环保股份有限公司,"NANJING CEC ENVIRONMENTAL PROTECTION CO.,LTD.",江苏省南京市江宁开发区诚信大道1800号,300172,中电环保,2011-02-01,130000000,62449276,,,,0,0,华东,江苏,南京市,N 公共环保,www.njcec.com
300173,松德股份,松德机械股份有限公司,"Sotech Machinery Co., Ltd.",广东省中山市南头镇南头大道东105号,300173,松德股份,2011-02-01,113230000,51300795,,,,0,0,华南,广东,中山市,C 制造业,www.songde.com.cn
300174,元力股份,福建元力活性炭股份有限公司,"Fujian Yuanli Active Carbon Co.,Ltd.",福建省南平来舟经济开发区,300174,元力股份,2011-02-01,136000000,36297831,,,,0,0,华东,福建,南平市,C 制造业,www.yuanlicarbon.com
300175,朗源股份,朗源股份有限公司,"Lontrue Co.,Limited",山东省龙口高新技术产业园区,300175,朗源股份,2011-02-15,470800000,264915200,,,,0,0,华东,山东,烟台市,C 制造业,www.lontrue.com
300176,鸿特精密,广东鸿特精密技术股份有限公司,"Guangdong Hongteo Accurate Technology Co.,Ltd.",广东省肇庆市鼎湖城区北十区,300176,鸿特精密,2011-02-15,89400000,29570300,,,,0,0,华南,广东,肇庆市,C 制造业,www.hongteo.com.cn
300177,中海达,广州中海达卫星导航技术股份有限公司,"Guangzhou Hi-Target Navigation Tech Co.,Ltd.",广东省广州市番禺区东环街番禺大道北555号番禺节能科技园内天安科技创新大厦1003,300177,中海达,2011-02-15,201830120,89950212,,,,0,0,华南,广东,广州市,C 制造业,www.zhdgps.com
300178,腾邦国际,深圳市腾邦国际商业服务股份有限公司,Shenzhen Tempus Global Business Service Holding Ltd.,广东省深圳市福田保税区桃花路腾邦物流大厦5楼,300178,腾邦国际,2011-02-15,122300000,71400000,,,,0,0,华南,广东,深圳市,L 商务服务,www.tempus.cn
300179,四方达,河南四方达超硬材料股份有限公司,"SF DIAMOND CO.,LTD.",河南省郑州市经济技术开发区第七大街151号,300179,四方达,2011-02-15,216000000,86663918,,,,0,0,华中,河南,郑州市,C 制造业,www.sf-diamond.com.cn
300180,华峰超纤,上海华峰超纤材料股份有限公司,"Huafon Microfibre (Shanghai) CO.,LTD.",上海市金山区亭卫南路888号,300180,华峰超纤,2011-02-22,158000000,72912500,,,,0,0,华东,上海,上海市,C 制造业,
300181,佐力药业,浙江佐力药业股份有限公司,"Zhejiang Jolly Pharmaceutical Co.,LTD",浙江省湖州市德清县武康镇志远路,300181,佐力药业,2011-02-22,144000000,89587575,,,,0,0,华东,浙江,湖州市,C 制造业,www.zuoli.com
300182,捷成股份,北京捷成世纪科技股份有限公司,"Beijing Jetsen Technology Co.,Ltd.",北京市海淀区知春路1号学院国际大厦709室,300182,捷成股份,2011-02-22,222331850,54600000,,,,0,0,华北,北京,北京市,I 信息技术,www.jetsen.com.cn
300183,东软载波,青岛东软载波科技股份有限公司,"Qingdao Eastsoft Communication Technology Co., Ltd.",山东省青岛市市北区上清路16号甲,300183,东软载波,2011-02-22,220000000,55000000,,,,0,0,华东,山东,青岛市,I 信息技术,www.eastsoft.com.cn
300184,力源信息,武汉力源信息技术股份有限公司,"Wuhan P&S Information Technology Co.,Ltd",湖北省武汉市东湖新技术开发区武大园三路5号,300184,力源信息,2011-02-22,100050000,66177713,,,,0,0,华中,湖北,武汉市,F 批发零售,www.icbase.com
300185,通裕重工,通裕重工股份有限公司,"Tongyu Heavy Industry Co.,Ltd.",山东省禹城市高新技术产业开发区,300185,通裕重工,2011-03-08,900000000,485867804,,,,0,0,华东,山东,德州市,C 制造业,www.tongyuheavy.com
300186,大华农,广东大华农动物保健品股份有限公司,"Guangdong DaHuaNong Animal Health Products Co.,Ltd.",广东省新兴县新城镇东堤北路温氏科技园2号之三,300186,大华农,2011-03-08,534000000,134000000,,,,0,0,华南,广东,云浮市,C 制造业,www.gddhn.com
300187,永清环保,永清环保股份有限公司,"Yonker Environmental Protection Co.,Ltd.",湖南省长沙市浏阳市国家生物医药产业基地(319国道旁),300187,永清环保,2011-03-08,133560000,37100000,,,,0,0,华中,湖南,长沙市,N 公共环保,www.yonker.com.cn
300188,美亚柏科,厦门市美亚柏科信息股份有限公司,"Xiamen Meiya Pico Information Co.,LTD.",福建省厦门市软件园二期观日路12号102-402单元,300188,美亚柏科,2011-03-16,110906600,27000000,,,,0,0,华东,福建,厦门市,I 信息技术,www.xm-my.com.cn; www.300188.cn
300189,神农大丰,海南神农大丰种业科技股份有限公司,"Grand Agriseeds Technology,Inc.",海南省海口市紫荆路2-1号紫荆信息公寓26A,300189,神农大丰,2011-03-16,256000000,111040000,,,,0,0,华南,海南,海口市,A 农林牧渔,www.sndf.com.cn
300190,维尔利,江苏维尔利环保科技股份有限公司,"Jiangsu WELLE Environmental Co.,Ltd",江苏省常州新北区汉江路156号,300190,维尔利,2011-03-16,97785000,39697200,,,,0,0,华东,江苏,常州市,N 公共环保,www.jswelle.com.cn
300191,潜能恒信,潜能恒信能源技术股份有限公司,"SINO GEOPHYSICAL CO.,LTD",北京市海淀区紫竹院路81号院3号楼北方地产大厦618,300191,潜能恒信,2011-03-16,160000000,45880000,,,,0,0,华北,北京,北京市,B 采矿业,www.sinogeo.com
300192,科斯伍德,苏州科斯伍德油墨股份有限公司,"Suzhou Kingswood Printing Ink Co.,Ltd.",江苏省苏州市相城区潘阳工业园东桥开发区旺庄路3-1号,300192,科斯伍德,2011-03-22,110250000,54000000,,,,0,0,华东,江苏,苏州市,C 制造业,www.szkinks.com
300193,佳士科技,深圳市佳士科技股份有限公司,"SHENZHEN JASIC TECHNOLOGY CO.,LTD.",广东省深圳市坪山新区青兰一路3号,300193,佳士科技,2011-03-22,221500000,115362231,,,,0,0,华南,广东,深圳市,C 制造业,www.jasic.com.cn
