公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股简称,B股上市日期,B股总股本,B股流通股本,地 区,省 份,城 市,所属行业,公司网址
29,深深房Ａ,深圳经济特区房地产(集团)股份有限公司,"SHENZHEN SPECIAL ECONOMIC ZONE REAL ESTATE（GROUP）CO.,LTD.",广东省深圳市人民南路3005号深房广场47楼,29,深深房Ａ,1993-09-15,891660000,891660000,200029,深深房Ｂ,1994-01-10,120000000,120000000,华南,广东,深圳市,K 房地产,www.sfjt.com.cn
30,富奥股份,富奥汽车零部件股份有限公司,FAWER Automotive Parts Limited Company,吉林省长春市汽车经济技术开发区东风南街777号,30,富奥股份,1993-09-29,1259095140,184975441,200030,富奥B,1993-09-29,39600000,39600000,东北,吉林,长春市,C 制造业,
37,深南电Ａ,深圳南山热电股份有限公司,"SHENZHEN NANSHAN POWER STATION CO.,LTD",广东省深圳市南山区月亮湾大道2097号,37,深南电Ａ,1994-07-01,338908150,338890027,200037,深南电Ｂ,1994-11-28,263854446,263850321,华南,广东,深圳市,D 水电煤气,www.nsrd.com.cn
45,深纺织Ａ,深圳市纺织(集团)股份有限公司,"SHENZHEN TEXTILE (HOLDINGS) CO., LTD",广东省深圳市福田区华强北路3号深纺大厦6楼,45,深纺织Ａ,1994-08-15,457021849,233258409,200045,深纺织Ｂ,1994-08-15,49500000,49424963,华南,广东,深圳市,F 批发零售,www.chinasthc.com
53,深基地Ｂ,深圳赤湾石油基地股份有限公司,"SHENZHEN CHIWAN PETROLEUM SUPPLY BASE CO., LTD",广东省深圳市南山区赤湾基地楼,,,,0,0,200053,深基地Ｂ,1995-07-28,111180000,111155600,华南,广东,深圳市,G 运输仓储,www.chiwanbase.com
54,*ST建摩B,重庆建设摩托车股份有限公司,"CHONGQING JIANSHE MOTORCYCLE CO.,LTD",重庆市巴南区花溪工业园建设大道1号,,,,0,0,200054,*ST建摩B,1995-07-25,120000000,120000000,西南,重庆,重庆市,C 制造业,www.jianshe.com.cn
55,方大集团,方大集团股份有限公司,"CHINA FANGDA GROUP CO., LTD",广东省深圳市高新区科技南十二路方大大厦,55,方大集团,1996-04-15,420958717,420854275,200055,方大Ｂ,1995-11-29,335951188,335951188,华南,广东,深圳市,C 制造业,www.fangda.com
56,*ST国商,深圳市国际企业股份有限公司,"SHENZHEN INTERNATIONAL ENTERPRISE CO.,LTD",广东省深圳市福田区金田路2028号皇岗商务中心6楼,56,*ST国商,1996-07-08,119212992,119212992,200056,*ST国商B,1995-10-30,101688192,101347761,华南,广东,深圳市,K 房地产,www.china-ia.com
58,深 赛 格,深圳赛格股份有限公司,"SHENZHEN SEG CO.,LTD",广东省深圳市福田区华强北路群星广场A座三十一楼,58,深 赛 格,1996-12-26,538337692,538302228,200058,深赛格B,1996-07-22,246461318,246461318,华南,广东,深圳市,L 商务服务,www.segcl.com.cn
152,山 航Ｂ,山东航空股份有限公司,"SHANDONG AIRLINES CO.,LTD",山东省济南市遥墙国际机场,,,,0,0,200152,山 航Ｂ,2000-09-12,140000000,140000000,华东,山东,济南市,G 运输仓储,www.shandongair.com.cn
160,南江B,承德南江股份有限公司,"CHENGDE NANJIANG CO., LTD.",河北省承德县下板城镇,,,,0,0,200160,南江B,2000-09-29,461520000,461515575,华北,河北,承德市,C 制造业,www.dxtex.com
168,雷伊B,广东雷伊(集团)股份有限公司,"GUANGDONG RIEYS GROUP CO.,LTD",广东省普宁市军埠镇美新工业园,,,,0,0,200168,雷伊B,2000-10-27,154575000,154575000,华南,广东,揭阳市,C 制造业,www.rieys.com
413,宝 石Ａ,石家庄宝石电子玻璃股份有限公司,"SHIJIAZHUANG BAOSHI ELECTRONIC GLASS CO.,LTD",河北省石家庄市高新技术产业开发区黄河大道9号,413,宝 石Ａ,1996-09-25,803000000,282818885,200413,宝 石Ｂ,1996-07-08,100000000,100000000,华北,河北,石家庄市,C 制造业,
418,小天鹅Ａ,无锡小天鹅股份有限公司,"WUXI LITTLE SWAN CO.,LTD",江苏省无锡国家高新技术开发区汉江路1号,418,小天鹅Ａ,1997-03-28,441451892,351810168,200418,小天鹅Ｂ,1996-07-18,191035872,191035872,华东,江苏,无锡市,C 制造业,www.littleswan.com
429,粤高速Ａ,广东省高速公路发展股份有限公司,"GUANGDONG PROVINCIAL EXPRESSWAY DEVELOPMENT CO.,LTD",广东省广州市白云路85号,429,粤高速Ａ,1998-02-20,908367748,467882422,200429,粤高速Ｂ,1996-08-15,348750000,348747375,华南,广东,广州市,G 运输仓储,www.gpedcl.com
468,宁通信Ｂ,南京普天通信股份有限公司,"NANJING PUTIAN TELECOMMUNICATIONS CO., LTD",江苏省南京市江宁经济技术开发区秦淮路58号,,,,0,0,200468,宁通信Ｂ,1997-05-22,100000000,100000000,华东,江苏,南京市,C 制造业,www.postel.com.cn
